Tiempo (s),Acc X (G),Acc Y (G),Acc Z (G)
0.001,-0.0,0.0,9.8
0.041,-0.0,0.0,9.8
0.081,-0.002,-0.0,9.8
0.121,-0.004,-0.0,9.8
0.162,-0.001,-0.001,9.8
0.202,-0.003,-0.001,9.8
0.242,0.004,-0.002,9.8
0.282,0.007,-0.008,9.8
0.323,0.014,-0.007,9.8
0.363,0.025,-0.011,9.8
0.403,0.045,0.001,9.801
0.443,0.095,0.007,9.801
0.484,0.135,0.019,9.8
0.524,0.077,0.018,9.801
0.564,0.079,0.015,9.802
0.604,0.044,-0.001,9.802
0.645,0.059,0.005,9.801
0.685,0.055,0.004,9.799
0.725,0.153,0.0,9.801
0.766,0.233,-0.034,9.801
0.806,0.241,-0.019,9.802
0.846,0.1,-0.037,9.802
0.886,0.156,0.02,9.801
0.927,-0.074,-0.023,9.801
0.967,0.006,0.006,9.799
1.008,-0.043,0.083,9.8
1.048,-0.214,0.049,9.803
1.088,-0.124,-0.071,9.802
1.129,-0.342,-0.165,9.802
1.169,-0.167,-0.143,9.803
1.209,-0.059,-0.141,9.805
1.249,-0.148,-0.028,9.803
1.29,-0.238,0.02,9.801
1.33,-0.224,0.043,9.801
1.37,0.025,0.032,9.798
1.41,-0.232,-0.001,9.795
1.451,0.059,-0.016,9.791
1.491,0.103,0.033,9.793
1.531,0.004,0.297,9.791
1.571,0.235,0.179,9.792
1.611,0.879,0.076,9.791
1.652,0.837,-0.039,9.795
1.692,1.438,-0.116,9.793
1.732,0.099,-0.157,9.793
1.773,-0.48,-0.075,9.808
1.813,-0.175,-0.118,9.807
1.853,0.092,-0.045,9.809
1.894,-0.422,-0.116,9.81
1.934,-0.388,-0.077,9.806
1.974,-0.462,-0.26,9.816
2.015,-0.393,-0.384,9.82
2.055,-0.711,-0.438,9.815
2.095,-0.282,-0.417,9.814
2.135,1.3,-0.077,9.805
2.176,0.258,-0.009,9.796
2.216,1.047,0.141,9.788
2.256,0.454,0.447,9.804
2.296,-1.343,0.265,9.808
2.337,-1.181,-0.111,9.804
2.377,-1.447,-0.009,9.823
2.417,-0.05,0.28,9.816
