Tiempo (s),Acc X (G),Acc Y (G),Acc Z (G)
0.0,0.0,0.0,9.8
0.041,-0.0,0.0,9.8
0.081,0.002,-0.0,9.8
0.124,-0.0,-0.001,9.8
0.164,0.005,-0.0,9.8
0.205,-0.008,-0.004,9.8
0.245,-0.01,-0.008,9.8
0.285,-0.04,-0.007,9.8
0.326,-0.053,-0.003,9.8
0.366,-0.007,-0.002,9.799
0.406,-0.018,-0.009,9.8
0.447,-0.035,0.002,9.799
0.487,-0.077,0.009,9.8
0.527,0.043,-0.003,9.8
0.567,0.147,0.002,9.799
0.608,0.086,0.023,9.799
0.648,0.038,-0.002,9.798
0.688,-0.043,-0.049,9.799
0.728,-0.091,-0.051,9.8
0.769,-0.071,-0.031,9.802
0.809,-0.013,-0.012,9.801
0.849,-0.011,0.008,9.797
0.89,-0.088,0.025,9.798
0.93,-0.002,0.018,9.798
0.97,0.047,0.018,9.796
1.011,0.099,-0.041,9.8
1.051,-0.171,-0.024,9.805
1.092,-0.025,-0.013,9.801
1.132,0.238,-0.03,9.8
1.172,0.492,0.009,9.799
1.213,0.178,0.116,9.802
1.253,0.169,0.076,9.806
1.293,0.202,-0.055,9.803
1.333,-0.102,-0.068,9.807
1.374,-0.049,-0.044,9.805
1.414,-0.528,0.037,9.804
1.454,-0.07,0.067,9.809
1.495,-0.214,0.065,9.809
1.535,0.056,0.052,9.808
1.575,0.587,0.091,9.81
1.616,0.405,0.013,9.809
1.656,0.125,-0.224,9.808
1.696,0.104,-0.166,9.806
1.737,-0.435,-0.124,9.816
1.777,-0.604,-0.145,9.814
1.817,-0.623,-0.145,9.818
1.858,0.096,-0.083,9.82
1.898,-0.256,-0.203,9.814
1.938,-0.733,-0.038,9.807
1.979,-0.442,-0.053,9.801
2.019,-0.581,0.123,9.8
2.059,-0.24,-0.157,9.811
2.1,-0.007,-0.043,9.802
2.14,0.705,-0.217,9.806
2.18,0.583,-0.1,9.803
2.221,0.0,0.159,9.793
2.261,0.122,0.052,9.775
2.301,0.483,0.417,9.782
2.342,-0.365,0.461,9.796
2.382,-0.055,0.131,9.799
2.422,0.031,-0.257,9.802
2.463,-0.482,0.172,9.795
2.503,-0.391,0.091,9.775
2.543,-0.34,-0.015,9.764
2.583,-1.447,0.042,9.767
2.624,-0.177,0.263,9.77
2.664,0.025,0.276,9.764
2.705,0.89,0.097,9.767
2.745,0.557,0.191,9.774
2.785,0.886,0.281,9.794
2.825,1.105,0.057,9.8
2.866,2.612,0.082,9.767
2.906,2.846,0.112,9.756
2.947,1.637,0.118,9.734
2.987,0.497,0.107,9.754
3.028,0.941,0.211,9.77
3.068,-0.508,0.232,9.757
3.108,-0.826,0.522,9.763
3.149,0.618,0.961,9.769
3.189,0.875,0.94,9.785
3.23,0.525,1.06,9.792
3.27,1.02,0.927,9.786
3.311,-0.602,0.421,9.797
3.351,-1.804,0.09,9.78
3.391,-3.057,-0.136,9.791
3.432,-0.352,-0.431,9.803
3.472,0.083,-0.649,9.788
3.512,2.59,-0.417,9.796
3.553,2.29,-0.366,9.82
3.593,0.069,0.215,9.8
3.634,-2.313,0.008,9.787
3.674,-2.62,-0.688,9.813
3.714,-0.711,-0.55,9.833
3.755,-0.381,-0.586,9.824
3.795,-2.306,-0.049,9.812
3.836,0.854,0.294,9.835
3.876,-0.231,-0.427,9.81
3.916,-0.163,-0.046,9.803
3.957,-1.443,0.228,9.807
3.997,-0.383,0.275,9.792
4.037,-2.883,-0.213,9.789
4.078,-3.327,-0.627,9.759
4.118,3.45,-0.319,9.76
4.158,2.672,-0.764,9.767
4.199,3.391,-0.631,9.759
4.239,-1.694,-0.308,9.783
4.279,-2.186,-0.925,9.784
4.32,0.305,-0.857,9.793
4.36,-0.904,-1.339,9.82
4.401,-0.722,-0.544,9.805
4.441,0.057,-0.527,9.803
4.481,-0.436,-0.083,9.808
4.521,0.527,0.066,9.815
4.562,2.549,-0.205,9.807
4.602,1.976,-0.192,9.796
4.643,-1.115,0.103,9.781
4.683,-1.889,0.504,9.811
4.724,-0.416,1.274,9.81
4.764,-2.202,1.5,9.744
4.804,-0.449,0.926,9.786
4.845,-0.067,-0.171,9.771
4.885,-0.838,-1.187,9.769
4.926,0.364,-1.145,9.813
4.966,-1.355,-1.343,9.817
5.006,1.485,-0.468,9.81
5.047,2.133,0.895,9.818
5.087,-0.74,0.632,9.846
5.128,-4.714,0.102,9.873
5.168,0.037,-0.551,9.832
5.208,0.405,-0.589,9.839
5.249,-3.266,-0.728,9.82
5.289,0.017,-1.304,9.816
5.329,2.817,-1.067,9.815
5.37,3.12,0.155,9.823
5.411,1.656,-0.238,9.846
5.451,-0.86,-0.535,9.827
5.491,-1.981,0.613,9.846
5.532,-0.018,0.707,9.827
5.572,-1.491,-0.575,9.828
5.612,0.426,-1.275,9.838
5.652,-1.587,-0.392,9.777
5.693,-5.558,-0.927,9.837
5.733,2.224,0.866,9.867
5.774,-1.598,0.74,9.855
5.814,2.35,0.656,9.841
5.855,2.891,-0.259,9.855
5.895,3.344,-0.091,9.865
5.935,4.212,-0.187,9.856
5.975,2.47,-0.743,9.856
6.016,-0.154,0.078,9.8
6.056,-1.375,1.51,9.815
6.097,-1.767,-0.575,9.8
6.137,-2.902,-0.357,9.801
6.177,0.024,-0.462,9.833
6.217,1.929,0.262,9.86
6.258,4.616,0.124,9.846
6.298,-0.1,-0.711,9.831
6.338,0.518,-0.337,9.824
6.379,2.736,0.437,9.789
6.419,0.148,0.564,9.749
6.459,3.136,0.099,9.799
6.5,0.392,-0.491,9.806
6.54,0.22,-0.439,9.865
6.581,3.782,0.041,9.934
6.621,-1.292,-0.424,9.919
6.661,0.085,-0.018,9.858
6.702,1.618,-0.374,9.828
6.742,0.04,0.17,9.8
6.783,3.531,-0.499,9.816
6.824,5.596,-0.211,9.834
6.864,5.172,0.099,9.842
6.904,1.849,0.243,9.848
6.945,7.974,-0.526,9.843
6.985,2.093,0.535,9.822
7.025,0.339,0.698,9.777
7.066,1.814,1.504,9.765
7.106,-1.003,-0.013,9.725
7.146,-1.24,0.719,9.731
7.187,-4.117,0.081,9.749
7.227,2.527,0.116,9.712
7.268,1.808,0.756,9.759
7.308,-1.488,0.29,9.823
7.348,0.532,-0.344,9.772
7.389,1.03,-1.819,9.783
7.429,6.577,-1.387,9.803
7.47,10.324,0.752,9.797
7.51,9.777,1.029,9.829
7.551,5.988,0.122,9.853
7.591,4.7,0.698,9.85
7.631,2.957,-0.05,9.762
7.671,5.339,-0.045,9.724
7.712,5.52,-0.514,9.757
7.752,1.147,0.044,9.774
7.792,-2.491,-1.194,9.834
7.833,-0.718,-1.264,9.806
